learning_rate_list,momentum_list,number_of_epochs_list,batch_size_list1,batch_size_list2,batch_size_list3,batch_size_list4,accuracy_train_list,accuracy_validation_list,cross_entropy_list,validation_list,time_list
0.003,0.5,30,16,32,64,128,0.547085201793722,0.5,0.71450051159719,0.100134169157748,0.234375
0.003,0.5,30,16,32,64,128,0.547085201793722,0.5,0.912840221225167,-0.123680345880429,0.296875
0.003,0.6,10,16,32,64,128,0.547085201793722,0.5,0.729285260193768,0.433097540234148,0.25
0.003,0.6,10,16,32,64,128,0.547085201793722,0.5,0.638461067625192,0.44700439316167,0.25
0.003,0.6,10,16,32,64,128,0.547085201793722,0.5,0.6216911857122,0.459103545477107,0.21875
0.003,0.6,10,16,32,64,128,0.547085201793722,0.5,0.672829034646715,0.476066307624017,0.265625
0.003,0.6,20,16,32,64,128,0.547085201793722,0.5,0.817878519880323,0.0249443431800715,0.296875
0.003,0.6,20,16,32,64,128,0.547085201793722,0.5,0.949911891029033,0.0976304636691421,0.28125
0.003,0.6,20,16,32,64,128,0.547085201793722,0.5,0.547054404799138,0.239417746558871,0.265625
0.003,0.6,20,16,32,64,128,0.547085201793722,0.5,0.742489976387739,0.428643638998449,0.28125
0.003,0.6,30,16,32,64,128,0.547085201793722,0.5,0.876105188074503,0.0834565501714749,0.234375
0.003,0.6,30,16,32,64,128,0.547085201793722,0.5,0.652105576229354,0.506162945201699,0.25
0.003,0.6,30,16,32,64,128,0.547085201793722,0.5,0.845648461373056,0.274854261456779,0.28125
0.003,0.6,30,16,32,64,128,0.547085201793722,0.5,0.645861592973896,0.277459760037684,0.28125
0.003,0.7,10,16,32,64,128,0.547085201793722,0.5,0.720082474641961,0.473692395073356,0.234375
0.003,0.7,10,16,32,64,128,0.547085201793722,0.5,0.659119958838648,0.529164215474844,0.21875
0.003,0.7,10,16,32,64,128,0.547085201793722,0.5,0.794439865724838,0.148476997749712,0.203125
0.003,0.7,10,16,32,64,128,0.547085201793722,0.5,0.652549900262298,0.386856595602133,0.234375
0.003,0.7,20,16,32,64,128,0.547085201793722,0.5,0.902269101296393,-0.000100870187681235,0.234375
0.003,0.7,20,16,32,64,128,0.547085201793722,0.5,0.827400321598751,0.166926400278546,0.234375
0.003,0.7,20,16,32,64,128,0.547085201793722,0.5,0.740677481728759,0.414209947977073,0.234375
0.003,0.7,20,16,32,64,128,0.547085201793722,0.5,0.896481485631739,0.181550370517815,0.296875
0.003,0.7,30,16,32,64,128,0.547085201793722,0.5,0.892606050210904,-0.374138990299981,0.265625
0.003,0.7,30,16,32,64,128,0.547085201793722,0.5,0.948751988191802,0.14753763001808,0.234375
0.003,0.7,30,16,32,64,128,0.547085201793722,0.5,0.658063118295332,0.539843039935813,0.234375
0.003,0.7,30,16,32,64,128,0.547085201793722,0.5,0.872233059059701,0.127865896758743,0.3125
0.003,0.9,10,16,32,64,128,0.547085201793722,0.5,0.566163995302486,0.500327567453844,0.21875
0.003,0.9,10,16,32,64,128,0.547085201793722,0.5,0.462875425951136,0.285752489290269,0.203125
0.003,0.9,10,16,32,64,128,0.547085201793722,0.5,0.57496170313565,0.404917772403199,0.25
0.003,0.9,10,16,32,64,128,0.547085201793722,0.5,0.654747820662861,0.378421585489198,0.265625
0.003,0.9,20,16,32,64,128,0.547085201793722,0.5,0.69713188844887,0.306592309304107,0.234375
0.003,0.9,20,16,32,64,128,0.547085201793722,0.5,0.779080661575379,0.0545947901476851,0.25
0.003,0.9,20,16,32,64,128,0.547085201793722,0.5,0.693155918491347,0.351931769383132,0.234375
0.003,0.9,20,16,32,64,128,0.547085201793722,0.5,0.829041513453638,0.279287675950348,0.25
0.003,0.9,30,16,32,64,128,0.547085201793722,0.5,0.979769314477318,-0.996459090365337,0.265625
0.003,0.9,30,16,32,64,128,0.547085201793722,0.5,0.615596243426318,0.449797342569392,0.25
0.003,0.9,30,16,32,64,128,0.547085201793722,0.5,0.955676166785429,0.275578380019788,0.25
0.003,0.9,30,16,32,64,128,0.547085201793722,0.5,0.705934790896052,0.591636217365559,0.265625
0.01,0.5,10,16,32,64,128,0.547085201793722,0.5,0.80442136990847,0.0926476578714598,0.21875
0.01,0.5,10,16,32,64,128,0.547085201793722,0.5,0.541498904123709,0.444490273874052,0.234375
0.01,0.5,10,16,32,64,128,0.547085201793722,0.5,0.698896619122723,0.56094069372668,0.359375
0.01,0.5,10,16,32,64,128,0.547085201793722,0.5,0.652214636074441,0.420534376719049,0.1875
0.01,0.5,20,16,32,64,128,0.547085201793722,0.5,0.663438119673321,0.543417329755328,0.25
0.01,0.5,20,16,32,64,128,0.547085201793722,0.5,0.928699830193212,-0.246342702100185,0.28125
0.01,0.5,20,16,32,64,128,0.547085201793722,0.5,0.572424693444773,0.547886844039083,0.25
0.01,0.5,20,16,32,64,128,0.547085201793722,0.5,0.814843349209114,0.218446267286521,0.234375
0.01,0.5,30,16,32,64,128,0.547085201793722,0.5,0.586793104083647,0.223867879232877,0.296875
0.01,0.5,30,16,32,64,128,0.547085201793722,0.5,0.923435368533799,-0.3445048897454,0.25
0.01,0.5,30,16,32,64,128,0.547085201793722,0.5,0.795202483011898,0.439031668765,0.28125
0.01,0.5,30,16,32,64,128,0.547085201793722,0.5,0.872302342113836,0.0370896162815475,0.25
0.01,0.6,10,16,32,64,128,0.547085201793722,0.5,0.775515981191916,0.250172457814936,0.28125
0.01,0.6,10,16,32,64,128,0.547085201793722,0.5,0.709226663549555,0.467179932448095,0.25
0.01,0.6,10,16,32,64,128,0.547085201793722,0.5,0.644360853082751,0.378555789984548,0.21875
0.01,0.6,10,16,32,64,128,0.547085201793722,0.5,0.702146004085354,0.328453840860648,0.375
0.01,0.6,20,16,32,64,128,0.547085201793722,0.5,0.849823807909832,-0.171662947811441,0.265625
0.01,0.6,20,16,32,64,128,0.547085201793722,0.5,0.519033044679728,0.253290172974538,0.265625
0.01,0.6,20,16,32,64,128,0.547085201793722,0.5,0.810625349473025,0.384143428971672,0.25
0.01,0.6,20,16,32,64,128,0.547085201793722,0.5,0.634378691576928,0.466574813971474,0.25
0.01,0.6,30,16,32,64,128,0.547085201793722,0.5,0.919187436289917,0.137060188471454,0.25
0.01,0.6,30,16,32,64,128,0.547085201793722,0.5,0.742557883360584,0.0605054948943646,0.25
0.01,0.6,30,16,32,64,128,0.547085201793722,0.5,0.76182291798674,-1.56353171336487,0.25
0.01,0.6,30,16,32,64,128,0.547085201793722,0.5,0.893438852091072,0.170648574519233,0.28125
0.01,0.7,10,16,32,64,128,0.547085201793722,0.5,0.717230437205121,0.48831002859455,0.25
0.01,0.7,10,16,32,64,128,0.547085201793722,0.5,0.657584451730259,0.476109978501536,0.25
0.01,0.7,10,16,32,64,128,0.547085201793722,0.5,0.614677538350503,0.385500451324156,0.21875
0.01,0.7,10,16,32,64,128,0.547085201793722,0.5,0.741388892625694,0.201083613853456,0.21875
0.01,0.7,20,16,32,64,128,0.547085201793722,0.5,0.711570768990085,0.325742962330004,0.265625
0.01,0.7,20,16,32,64,128,0.547085201793722,0.5,0.709562978491097,0.167926712509799,0.3125
0.01,0.7,20,16,32,64,128,0.547085201793722,0.5,0.940862217903735,0.433027736724954,0.234375
0.01,0.7,20,16,32,64,128,0.547085201793722,0.5,0.686827420099656,0.41119361662639,0.234375
0.01,0.7,30,16,32,64,128,0.547085201793722,0.5,0.888061038833071,0.400410932476239,0.203125
0.01,0.7,30,16,32,64,128,0.547085201793722,0.5,0.666971129201092,0.546142149075469,0.265625
0.01,0.7,30,16,32,64,128,0.547085201793722,0.5,0.780081449010606,0.529546389414195,0.265625
0.01,0.7,30,16,32,64,128,0.547085201793722,0.5,0.796312814153761,-0.0403079121945213,0.234375
0.01,0.9,10,16,32,64,128,0.547085201793722,0.5,0.795103341480969,0.088920443052387,0.21875
0.01,0.9,10,16,32,64,128,0.547085201793722,0.5,0.684914449991067,0.424740796560595,0.25
0.01,0.9,10,16,32,64,128,0.547085201793722,0.5,0.693452120777447,0.51985542605467,0.21875
0.01,0.9,10,16,32,64,128,0.547085201793722,0.5,0.73744910597116,0.658780131902689,0.203125
0.01,0.9,20,16,32,64,128,0.547085201793722,0.5,0.607519452701334,0.406727567250598,0.234375
0.01,0.9,20,16,32,64,128,0.547085201793722,0.5,0.862948755079752,0.419400669192578,0.25
0.01,0.9,20,16,32,64,128,0.547085201793722,0.5,0.892550873770587,0.143239378397555,0.25
0.01,0.9,20,16,32,64,128,0.547085201793722,0.5,0.561201650313852,0.38229215897476,0.21875
0.01,0.9,30,16,32,64,128,0.547085201793722,0.5,0.842324748909689,0.390825630040178,0.234375
0.01,0.9,30,16,32,64,128,0.547085201793722,0.5,0.85972911589939,0.330526894811396,0.234375
0.01,0.9,30,16,32,64,128,0.547085201793722,0.5,0.662818820776586,0.483342960836299,0.265625
0.01,0.9,30,16,32,64,128,0.547085201793722,0.5,0.912354633849912,0.169604221041747,0.234375
0.03,0.5,10,16,32,64,128,0.547085201793722,0.5,0.740127179522739,0.57666417908015,0.21875
0.03,0.5,10,16,32,64,128,0.547085201793722,0.5,0.58771864978577,0.295063929670713,0.265625
0.03,0.5,10,16,32,64,128,0.547085201793722,0.5,0.81002008548112,0.372606795359038,0.265625
0.03,0.5,10,16,32,64,128,0.547085201793722,0.5,0.760535618830666,0.368753796163749,0.3125
0.03,0.5,20,16,32,64,128,0.547085201793722,0.5,0.6139656798099,0.459487177156676,0.265625
0.03,0.5,20,16,32,64,128,0.547085201793722,0.5,0.679930679354901,0.448471598054333,0.234375
0.03,0.5,20,16,32,64,128,0.547085201793722,0.5,0.644386114980445,0.477440394272388,0.25
0.03,0.5,20,16,32,64,128,0.547085201793722,0.5,0.600136534925323,0.365791888194204,0.28125
0.03,0.5,30,16,32,64,128,0.547085201793722,0.5,0.832666923024763,0.410921844405868,0.265625
0.03,0.5,30,16,32,64,128,0.547085201793722,0.5,0.740242281693463,0.196540110293713,0.25
0.03,0.5,30,16,32,64,128,0.547085201793722,0.5,0.801966160288396,0.386555940218382,0.296875
0.03,0.5,30,16,32,64,128,0.547085201793722,0.5,0.857445215602365,0.136446903927381,0.3125
0.03,0.6,10,16,32,64,128,0.547085201793722,0.5,0.725485045116049,0.400788961408301,0.234375
0.03,0.6,10,16,32,64,128,0.547085201793722,0.5,0.629518666963291,0.376173455635461,0.234375
0.03,0.6,10,16,32,64,128,0.547085201793722,0.5,0.699276604932181,0.0459733847556827,0.265625
0.03,0.6,10,16,32,64,128,0.547085201793722,0.5,0.735001925727878,0.34231901238208,0.234375
0.03,0.6,20,16,32,64,128,0.547085201793722,0.5,0.763928308838854,0.484225871643759,0.234375
0.03,0.6,20,16,32,64,128,0.547085201793722,0.5,0.787724493926821,0.514788278435038,0.234375
0.03,0.6,20,16,32,64,128,0.547085201793722,0.5,0.807282611893587,0.302062966582642,0.21875
0.03,0.6,20,16,32,64,128,0.547085201793722,0.5,0.474338485024609,0.61255923151501,0.21875
0.03,0.6,30,16,32,64,128,0.547085201793722,0.5,0.487551210621171,0.353383393029071,0.21875
0.03,0.6,30,16,32,64,128,0.547085201793722,0.5,0.857646058460636,-0.305350171089442,0.25
0.03,0.6,30,16,32,64,128,0.547085201793722,0.5,0.949123320992354,-0.0575270940596337,0.421875
0.03,0.6,30,16,32,64,128,0.547085201793722,0.5,0.964920007806725,-0.598461489973265,0.234375
0.03,0.7,10,16,32,64,128,0.547085201793722,0.5,0.567737268499591,0.305325151370738,0.234375
0.03,0.7,10,16,32,64,128,0.547085201793722,0.5,0.741684697163662,0.362471394707545,0.234375
0.03,0.7,10,16,32,64,128,0.547085201793722,0.5,0.702374097494523,0.374595991892381,0.25
0.03,0.7,10,16,32,64,128,0.547085201793722,0.5,0.65390021478298,0.502025689032572,0.21875
0.03,0.7,20,16,32,64,128,0.547085201793722,0.5,0.762784567099126,0.320426602913328,0.234375
0.03,0.7,20,16,32,64,128,0.547085201793722,0.5,0.747649494213368,0.554055114780284,0.234375
0.03,0.7,20,16,32,64,128,0.547085201793722,0.5,0.799576557718395,0.28736683506345,0.296875
0.03,0.7,20,16,32,64,128,0.547085201793722,0.5,0.868738225538167,0.130112330892152,0.25
0.03,0.7,30,16,32,64,128,0.547085201793722,0.5,0.960213158916749,-0.192194464086485,0.234375
0.03,0.7,30,16,32,64,128,0.547085201793722,0.5,0.585905184685898,0.488204439629766,0.265625
0.03,0.7,30,16,32,64,128,0.547085201793722,0.5,0.659219226609615,0.0974627870515393,0.25
0.03,0.7,30,16,32,64,128,0.547085201793722,0.5,0.654600227421503,0.442933693567444,0.25
0.03,0.9,10,16,32,64,128,0.547085201793722,0.5,0.690690208545883,0.160720399980584,0.25
0.03,0.9,10,16,32,64,128,0.547085201793722,0.5,0.698139887444277,0.398655576362694,0.234375
0.03,0.9,10,16,32,64,128,0.547085201793722,0.5,0.730339016384912,0.338978251884792,0.25
0.03,0.9,10,16,32,64,128,0.547085201793722,0.5,0.744411336902319,0.50810362650408,0.25
0.03,0.9,20,16,32,64,128,0.547085201793722,0.5,0.813286230966135,0.136355834631198,0.28125
0.03,0.9,20,16,32,64,128,0.547085201793722,0.5,0.884136390234168,0.129163315963909,0.25
0.03,0.9,20,16,32,64,128,0.547085201793722,0.5,0.877647372369289,0.212998422565602,0.3125
0.03,0.9,20,16,32,64,128,0.547085201793722,0.5,0.911587155426736,0.0952566689102945,0.3125
0.03,0.9,30,16,32,64,128,0.547085201793722,0.5,0.664865133468275,0.26105866317359,0.265625
0.03,0.9,30,16,32,64,128,0.547085201793722,0.5,0.916802268678642,0.436217944475747,0.28125
0.03,0.9,30,16,32,64,128,0.547085201793722,0.5,0.946693385960739,-0.323856246810341,0.25
0.03,0.9,30,16,32,64,128,0.547085201793722,0.5,0.6927593774545,0.00590800360691424,0.34375
0.1,0.5,10,16,32,64,128,0.547085201793722,0.5,0.820868787697015,0.164821200063835,0.28125
0.1,0.5,10,16,32,64,128,0.547085201793722,0.5,0.685946613653034,0.56328013190006,0.21875
0.1,0.5,10,16,32,64,128,0.547085201793722,0.5,0.651807137348111,0.489608278192116,0.25
